DRINKING WATER,ISO3,Year,"Population 
(thousands)",% urban,RURAL,,,,,URBAN,,,,,TOTAL,,,,,RURAL,,,,,,,URBAN,,,,,,,TOTAL,,,,,,,,,,,
"COUNTRY, AREA OR TERRITORY",,,,,,,,,,,,,,,,,,,,"Proportion of population using 
improved water supplies",,,,,,,"Proportion of population using 
improved water supplies",,,,,,,"Proportion of population using 
improved water supplies",,,,,,,,,,,
Benin,BEN,2005,    8 149,41,54,10,23,13,0.39,76,4,15,4,-0.14,63,8,20,9,0.26,-,19,26,-,-,26,38,-,59,50,-,-,63,18,-,36,36,-,-,41,29,489,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Benin,BEN,2006,    8 403,41,55,10,23,12,0.39,76,4,16,4,-0.14,63,8,20,9,0.26,-,19,27,-,-,27,38,-,58,51,-,-,62,18,-,35,37,-,-,41,30,490,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Benin,BEN,2007,    8 648,42,55,10,23,12,0.39,76,4,16,4,-0.14,64,8,20,8,0.26,-,19,28,-,-,27,38,-,57,51,-,-,61,19,-,35,38,-,-,41,30,491,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Benin,BEN,2008,    8 906,42,55,10,23,11,0.39,76,4,16,4,-0.14,64,8,20,8,0.26,-,19,30,-,-,27,38,-,56,51,-,-,60,20,-,35,39,-,-,41,31,492,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Benin,BEN,2009,    9 173,43,56,10,23,11,0.39,76,4,16,3,-0.14,64,8,20,8,0.26,-,20,31,-,-,27,39,-,55,52,-,-,59,21,-,35,40,-,-,41,31,493,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Benin,BEN,2010,    9 446,43,56,10,23,10,0.39,76,4,17,3,-0.14,65,8,21,7,0.26,-,20,32,-,-,27,39,-,54,52,-,-,58,22,-,34,41,-,-,41,31,494,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Benin,BEN,2011,    9 726,44,56,10,24,10,0.39,76,5,17,3,-0.14,65,8,21,7,0.26,-,20,33,-,-,28,39,-,53,52,-,-,58,22,-,34,41,-,-,41,32,495,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Benin,BEN,2012,   10 014,44,57,10,24,9,0.39,75,5,17,3,-0.14,65,8,21,6,0.26,-,20,34,-,-,28,39,-,52,53,-,-,57,23,-,34,42,-,-,41,32,496,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Benin,BEN,2013,   10 309,45,57,10,24,9,0.39,75,5,17,3,-0.14,65,8,21,6,0.26,-,20,35,-,-,28,40,-,51,53,-,-,56,24,-,34,43,-,-,40,33,497,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Benin,BEN,2014,   10 615,45,58,10,24,8,0.39,75,5,18,2,-0.14,66,8,21,6,0.26,-,20,37,-,-,28,40,-,50,53,-,-,55,25,-,33,44,-,-,40,33,498,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Benin,BEN,2015,   10 933,46,58,10,24,8,0.39,75,5,18,2,-0.14,66,8,21,5,0.26,-,20,38,-,-,28,40,-,49,54,-,-,54,26,-,33,45,-,-,40,33,499,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Benin,BEN,2016,   11 260,46,58,10,24,7,0.39,75,5,18,2,-0.14,66,8,21,5,0.26,-,20,39,-,-,29,40,-,48,54,-,-,53,27,-,33,46,-,-,40,34,500,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Benin,BEN,2017,   11 597,47,59,10,24,7,0.39,75,5,19,2,-0.14,66,8,21,5,0.26,-,20,40,-,-,29,40,-,47,54,-,-,52,27,-,33,47,-,-,40,34,501,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Benin,BEN,2018,   11 941,47,59,11,24,6,0.39,74,5,19,2,-0.14,66,8,21,4,0.26,-,20,42,-,-,29,41,-,46,54,-,-,51,28,-,32,48,-,-,40,35,502,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Benin,BEN,2019,   12 290,48,60,11,24,6,0.39,74,5,19,1,-0.14,67,8,22,4,0.26,-,20,43,-,-,29,41,-,45,55,-,-,50,29,-,32,49,-,-,39,35,503,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Benin,BEN,2020,   12 643,48,60,11,24,6,0.39,74,5,19,1,-0.14,67,8,22,3,0.26,-,20,44,-,-,29,41,-,44,55,-,-,50,30,-,32,49,-,-,39,36,504,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Benin,BEN,2021,   12 997,49,60,11,24,5,0.39,74,5,20,1,-0.14,67,8,22,3,0.26,-,20,44,-,-,30,41,-,44,55,-,-,49,31,-,32,50,-,-,39,36,505,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Benin,BEN,2022,   13 353,50,61,11,24,5,0.39,74,5,20,<1,-0.14,67,8,22,3,0.26,-,20,45,-,-,30,42,-,44,55,-,-,48,32,-,32,50,-,-,39,37,506,Sub-Saharan Africa,AFR,West and Central Africa,Sub-Saharan Africa
Bermuda,BMU,2000,       61,100,-,-,-,-,-,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,-,-,-,-,-,-,-,>99,-,-,-,>99,<1,-,>99,-,-,-,>99,<1,507,Europe and Northern America,AMR,,
Bermuda,BMU,2001,       62,100,-,-,-,-,-,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,-,-,-,-,-,-,-,>99,-,-,-,>99,<1,-,>99,-,-,-,>99,<1,508,Europe and Northern America,AMR,,
Bermuda,BMU,2002,       62,100,-,-,-,-,-,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,-,-,-,-,-,-,-,>99,-,-,-,>99,<1,-,>99,-,-,-,>99,<1,509,Europe and Northern America,AMR,,
Bermuda,BMU,2003,       62,100,-,-,-,-,-,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,-,-,-,-,-,-,-,>99,-,-,-,>99,<1,-,>99,-,-,-,>99,<1,510,Europe and Northern America,AMR,,
Bermuda,BMU,2004,       63,100,-,-,-,-,-,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,-,-,-,-,-,-,-,>99,-,-,-,>99,<1,-,>99,-,-,-,>99,<1,511,Europe and Northern America,AMR,,
Bermuda,BMU,2005,       63,100,-,-,-,-,-,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,-,-,-,-,-,-,-,>99,-,-,-,>99,<1,-,>99,-,-,-,>99,<1,512,Europe and Northern America,AMR,,
Bermuda,BMU,2006,       63,100,-,-,-,-,-,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,-,-,-,-,-,-,-,>99,-,-,-,>99,<1,-,>99,-,-,-,>99,<1,513,Europe and Northern America,AMR,,
Bermuda,BMU,2007,       63,100,-,-,-,-,-,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,-,-,-,-,-,-,-,>99,-,-,-,>99,<1,-,>99,-,-,-,>99,<1,514,Europe and Northern America,AMR,,
Bermuda,BMU,2008,       63,100,-,-,-,-,-,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,-,-,-,-,-,-,-,>99,-,-,-,>99,<1,-,>99,-,-,-,>99,<1,515,Europe and Northern America,AMR,,
Bermuda,BMU,2009,       63,100,-,-,-,-,-,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,-,-,-,-,-,-,-,>99,-,-,-,>99,<1,-,>99,-,-,-,>99,<1,516,Europe and Northern America,AMR,,
Bermuda,BMU,2010,       63,100,-,-,-,-,-,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,-,-,-,-,-,-,-,>99,-,-,-,>99,<1,-,>99,-,-,-,>99,<1,517,Europe and Northern America,AMR,,
Bermuda,BMU,2011,       64,100,-,-,-,-,-,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,-,-,-,-,-,-,-,>99,-,-,-,>99,<1,-,>99,-,-,-,>99,<1,518,Europe and Northern America,AMR,,
Bermuda,BMU,2012,       64,100,-,-,-,-,-,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,-,-,-,-,-,-,-,>99,-,-,-,>99,<1,-,>99,-,-,-,>99,<1,519,Europe and Northern America,AMR,,
Bermuda,BMU,2013,       64,100,-,-,-,-,-,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,-,-,-,-,-,-,-,>99,-,-,-,>99,<1,-,>99,-,-,-,>99,<1,520,Europe and Northern America,AMR,,
Bermuda,BMU,2014,       63,100,-,-,-,-,-,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,-,-,-,-,-,-,-,>99,-,-,-,>99,<1,-,>99,-,-,-,>99,<1,521,Europe and Northern America,AMR,,
Bermuda,BMU,2015,       63,100,-,-,-,-,-,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,-,-,-,-,-,-,-,>99,-,-,-,>99,<1,-,>99,-,-,-,>99,<1,522,Europe and Northern America,AMR,,
Bermuda,BMU,2016,       63,100,-,-,-,-,-,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,-,-,-,-,-,-,-,>99,-,-,-,>99,<1,-,>99,-,-,-,>99,<1,523,Europe and Northern America,AMR,,
Bermuda,BMU,2017,       63,100,-,-,-,-,-,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,-,-,-,-,-,-,-,>99,-,-,-,>99,<1,-,>99,-,-,-,>99,<1,524,Europe and Northern America,AMR,,
Bermuda,BMU,2018,       64,100,-,-,-,-,-,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,-,-,-,-,-,-,-,>99,-,-,-,>99,<1,-,>99,-,-,-,>99,<1,525,Europe and Northern America,AMR,,
Bermuda,BMU,2019,       64,100,-,-,-,-,-,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,-,-,-,-,-,-,-,>99,-,-,-,>99,<1,-,>99,-,-,-,>99,<1,526,Europe and Northern America,AMR,,
Bermuda,BMU,2020,       64,100,-,-,-,-,-,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,-,-,-,-,-,-,-,>99,-,-,-,>99,<1,-,>99,-,-,-,>99,<1,527,Europe and Northern America,AMR,,
Bermuda,BMU,2021,       64,100,-,-,-,-,-,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,-,-,-,-,-,-,-,>99,-,-,-,>99,<1,-,>99,-,-,-,>99,<1,528,Europe and Northern America,AMR,,
Bermuda,BMU,2022,       64,100,-,-,-,-,-,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,-,-,-,-,-,-,-,>99,-,-,-,>99,<1,-,>99,-,-,-,>99,<1,529,Europe and Northern America,AMR,,
Bhutan,BTN,2000,      587,25,78,2,8,13,0.95,96,3,<1,<1,0.18,82,2,6,10,0.76,16,67,71,16,3.12,76,3,41,70,85,41,0.83,99,<1,22,68,74,22,2.32,82,2,530,Central and Southern Asia,SEAR,South Asia,South Asia
Bhutan,BTN,2001,      603,26,79,2,7,13,0.95,96,3,<1,<1,0.18,83,2,5,9,0.76,16,68,72,16,3.12,76,4,41,70,85,41,0.83,99,<1,23,69,75,23,2.32,82,3,531,Central and Southern Asia,SEAR,South Asia,South Asia
Bhutan,BTN,2002,      619,28,80,2,6,12,0.95,96,3,<1,<1,0.18,85,2,5,9,0.76,17,69,73,17,3.12,78,4,41,72,85,41,0.83,99,<1,23,70,76,23,2.32,84,3,532,Central and Southern Asia,SEAR,South Asia,South Asia
Bhutan,BTN,2003,      635,29,82,2,6,11,0.95,96,3,<1,<1,0.18,86,2,4,8,0.76,17,70,74,17,3.12,79,4,41,73,85,41,0.83,99,<1,24,71,77,24,2.32,85,3,533,Central and Southern Asia,SEAR,South Asia,South Asia
Bhutan,BTN,2004,      650,30,83,2,5,10,0.95,96,3,<1,<1,0.18,87,2,4,7,0.76,17,71,75,17,3.12,81,4,41,75,85,41,0.83,99,<1,24,72,78,24,2.32,86,3,534,Central and Southern Asia,SEAR,South Asia,South Asia
Bhutan,BTN,2005,      663,31,84,2,5,9,0.95,96,2,<1,<1,0.18,88,2,4,7,0.76,17,72,76,17,3.12,82,4,41,76,85,41,0.83,99,<1,25,74,79,25,2.32,87,3,535,Central and Southern Asia,SEAR,South Asia,South Asia
Bhutan,BTN,2006,      673,32,85,2,4,9,0.95,97,2,<1,<1,0.18,89,2,3,6,0.76,18,73,77,18,3.12,84,3,41,78,85,41,0.83,99,<1,25,75,80,25,2.32,88,2,536,Central and Southern Asia,SEAR,South Asia,South Asia
Bhutan,BTN,2007,      682,32,87,2,4,8,0.95,97,2,<1,<1,0.18,90,2,3,5,0.76,18,75,78,18,3.12,85,3,41,79,85,41,0.83,99,<1,25,76,81,25,2.32,90,2,537,Central and Southern Asia,SEAR,South Asia,South Asia
Bhutan,BTN,2008,      690,33,88,2,3,7,0.95,97,2,<1,<1,0.18,91,2,2,5,0.76,18,76,79,18,3.12,87,3,41,81,85,41,0.83,99,<1,26,77,81,26,2.32,91,2,538,Central and Southern Asia,SEAR,South Asia,South Asia
Bhutan,BTN,2009,      698,34,89,2,3,6,0.95,97,2,<1,<1,0.18,92,2,2,4,0.76,18,77,81,18,3.12,88,3,41,82,85,41,0.83,99,<1,26,79,82,26,2.32,92,2,539,Central and Southern Asia,SEAR,South Asia,South Asia
Bhutan,BTN,2010,      706,35,91,2,3,5,0.95,97,2,<1,<1,0.18,93,2,2,4,0.76,19,78,82,19,3.12,89,3,41,84,86,41,0.83,99,<1,26,80,83,26,2.32,93,2,540,Central and Southern Asia,SEAR,South Asia,South Asia
Bhutan,BTN,2011,      713,36,92,2,2,5,0.95,98,2,<1,<1,0.18,94,2,1,3,0.76,24,79,83,24,3.12,91,2,41,85,86,41,0.83,99,<1,30,81,84,30,2.32,94,2,541,Central and Southern Asia,SEAR,South Asia,South Asia
Bhutan,BTN,2012,      721,36,93,1,2,4,0.95,98,1,<1,<1,0.18,95,1,1,3,0.76,30,80,84,30,3.12,92,2,41,86,86,41,0.83,>99,<1,34,82,85,34,2.32,95,1,542,Central and Southern Asia,SEAR,South Asia,South Asia
Bhutan,BTN,2013,      729,37,94,1,1,3,0.95,98,1,<1,<1,0.18,96,1,<1,2,0.76,36,81,85,36,3.12,94,2,41,88,86,41,0.83,>99,<1,38,84,85,38,2.32,96,1,543,Central and Southern Asia,SEAR,South Asia,South Asia
Bhutan,BTN,2014,      736,38,96,1,<1,2,0.95,98,1,<1,<1,0.18,97,1,<1,1,0.76,43,82,86,43,3.12,95,2,43,89,86,43,0.83,>99,<1,43,85,86,43,2.32,97,1,544,Central and Southern Asia,SEAR,South Asia,South Asia
Bhutan,BTN,2015,      743,39,97,1,<1,1,0.95,98,<1,<1,<1,0.18,97,1,<1,<1,0.76,49,83,87,49,3.12,97,2,45,91,86,45,0.83,>99,<1,47,86,87,47,2.32,98,1,545,Central and Southern Asia,SEAR,South Asia,South Asia
Bhutan,BTN,2016,      750,39,98,1,<1,<1,0.95,98,<1,<1,<1,0.18,98,1,<1,<1,0.76,55,84,88,55,3.12,98,1,47,92,86,47,0.83,>99,<1,52,87,87,52,2.32,99,<1,546,Central and Southern Asia,SEAR,South Asia,South Asia
Bhutan,BTN,2017,      756,40,99,1,<1,<1,0.95,99,<1,<1,<1,0.18,99,1,<1,<1,0.76,62,85,89,62,3.12,>99,<1,49,94,86,49,0.83,>99,<1,57,88,88,57,2.32,>99,<1,547,Central and Southern Asia,SEAR,South Asia,South Asia
Bhutan,BTN,2018,      762,41,99,1,<1,<1,0.95,99,<1,<1,<1,0.18,99,<1,<1,<1,0.76,68,85,89,68,3.12,>99,<1,51,95,86,51,0.83,>99,<1,61,89,88,61,2.32,>99,<1,548,Central and Southern Asia,SEAR,South Asia,South Asia
Bhutan,BTN,2019,      767,42,99,1,<1,<1,0.95,>99,<1,<1,<1,0.18,99,<1,<1,<1,0.76,74,85,89,74,3.12,>99,<1,53,97,86,53,0.83,>99,<1,65,90,88,65,2.32,>99,<1,549,Central and Southern Asia,SEAR,South Asia,South Asia
Bhutan,BTN,2020,      773,42,99,1,<1,<1,0.95,>99,<1,<1,<1,0.18,99,<1,<1,<1,0.76,80,85,89,80,3.12,>99,<1,55,98,86,55,0.83,>99,<1,69,90,88,69,2.32,>99,<1,550,Central and Southern Asia,SEAR,South Asia,South Asia
Bhutan,BTN,2021,      777,43,99,1,<1,<1,0.95,>99,<1,<1,<1,0.18,>99,<1,<1,<1,0.76,85,85,89,86,3.12,>99,<1,57,>99,86,57,0.83,>99,<1,73,91,88,73,2.32,>99,<1,551,Central and Southern Asia,SEAR,South Asia,South Asia
Bhutan,BTN,2022,      782,44,99,1,<1,<1,0.95,>99,<1,<1,<1,0.18,>99,<1,<1,<1,0.76,85,85,89,91,3.12,>99,<1,59,>99,86,59,0.83,>99,<1,73,91,87,77,2.32,>99,<1,552,Central and Southern Asia,SEAR,South Asia,South Asia
Bolivia (Plurinational State of),BOL,2000,    8 593,62,57,<1,10,32,1.08,95,<1,4,<1,0.19,81,<1,6,13,0.61,-,44,-,-,-,50,8,-,91,85,-,-,92,3,-,73,-,-,-,76,5,553,Latin America and the Caribbean,AMR,Latin America and the Caribbean,Latin America and Caribbean
Bolivia (Plurinational State of),BOL,2001,    8 746,62,58,<1,10,31,1.08,96,<1,4,<1,0.19,81,<1,6,12,0.61,-,44,-,-,-,48,10,-,92,85,-,-,92,4,-,74,-,-,-,75,6,554,Latin America and the Caribbean,AMR,Latin America and the Caribbean,Latin America and Caribbean
Bolivia (Plurinational State of),BOL,2002,    8 901,63,59,<1,9,31,1.08,96,<1,4,<1,0.19,82,<1,6,12,0.61,-,45,-,-,-,47,13,-,92,84,-,-,91,4,-,75,-,-,-,75,8,555,Latin America and the Caribbean,AMR,Latin America and the Caribbean,Latin America and Caribbean
Bolivia (Plurinational State of),BOL,2003,    9 057,63,60,<1,9,30,1.08,96,<1,3,<1,0.19,83,<1,6,11,0.61,-,46,-,-,-,46,15,-,92,84,-,-,91,5,-,75,-,-,-,75,9,556,Latin America and the Caribbean,AMR,Latin America and the Caribbean,Latin America and Caribbean
Bolivia (Plurinational State of),BOL,2004,    9 216,64,61,<1,9,29,1.08,96,<1,3,<1,0.19,84,<1,5,11,0.61,-,47,-,-,-,45,18,-,92,84,-,-,91,5,-,76,-,-,-,74,10,557,Latin America and the Caribbean,AMR,Latin America and the Caribbean,Latin America and Caribbean
Bolivia (Plurinational State of),BOL,2005,    9 377,64,63,<1,9,28,1.08,96,<1,3,<1,0.19,84,<1,5,10,0.61,-,48,-,-,-,43,20,-,93,84,-,-,91,6,-,77,-,-,-,74,11,558,Latin America and the Caribbean,AMR,Latin America and the Caribbean,Latin America and Caribbean
Bolivia (Plurinational State of),BOL,2006,    9 543,65,64,<1,8,27,1.08,97,<1,3,<1,0.19,85,<1,5,10,0.61,-,49,-,-,-,42,22,-,93,84,-,-,90,6,-,77,-,-,-,73,12,559,Latin America and the Caribbean,AMR,Latin America and the Caribbean,Latin America and Caribbean
Bolivia (Plurinational State of),BOL,2007,    9 711,65,65,<1,8,27,1.08,97,<1,3,<1,0.19,86,<1,5,10,0.61,-,50,-,-,-,41,25,-,93,83,-,-,90,7,-,78,-,-,-,73,13,560,Latin America and the Caribbean,AMR,Latin America and the Caribbean,Latin America and Caribbean
Bolivia (Plurinational State of),BOL,2008,    9 881,66,66,<1,8,26,1.08,97,<1,3,<1,0.19,86,<1,4,9,0.61,-,51,-,-,-,39,27,-,93,83,-,-,90,7,-,79,-,-,-,72,14,561,Latin America and the Caribbean,AMR,Latin America and the Caribbean,Latin America and Caribbean
Bolivia (Plurinational State of),BOL,2009,   10 051,66,67,<1,8,25,1.08,97,<1,2,<1,0.19,87,<1,4,9,0.61,-,52,-,-,-,38,29,-,94,83,-,-,90,8,-,79,-,-,-,72,15,562,Latin America and the Caribbean,AMR,Latin America and the Caribbean,Latin America and Caribbean
Bolivia (Plurinational State of),BOL,2010,   10 223,66,68,<1,7,24,1.08,97,<1,2,<1,0.19,87,<1,4,8,0.61,-,52,-,-,-,37,32,-,94,83,-,-,89,8,-,80,-,-,-,72,16,563,Latin America and the Caribbean,AMR,Latin America and the Caribbean,Latin America and Caribbean
Bolivia (Plurinational State of),BOL,2011,   10 396,67,69,<1,7,23,1.08,97,<1,2,<1,0.19,88,<1,4,8,0.61,-,53,-,-,-,36,34,-,94,82,-,-,89,9,-,81,-,-,-,71,17,564,Latin America and the Caribbean,AMR,Latin America and the Caribbean,Latin America and Caribbean
Bolivia (Plurinational State of),BOL,2012,   10 570,67,70,<1,7,23,1.08,98,<1,2,<1,0.19,89,<1,3,8,0.61,-,54,-,-,-,34,36,-,94,82,-,-,89,9,-,81,-,-,-,71,18,565,Latin America and the Caribbean,AMR,Latin America and the Caribbean,Latin America and Caribbean
Bolivia (Plurinational State of),BOL,2013,   10 743,68,71,<1,7,22,1.08,98,<1,2,<1,0.19,89,<1,3,7,0.61,-,55,-,-,-,33,39,-,95,82,-,-,88,10,-,82,-,-,-,70,19,566,Latin America and the Caribbean,AMR,Latin America and the Caribbean,Latin America and Caribbean
Bolivia (Plurinational State of),BOL,2014,   10 917,68,72,<1,6,21,1.08,98,<1,2,<1,0.19,90,<1,3,7,0.61,-,56,-,-,-,32,41,-,95,81,-,-,88,10,-,82,-,-,-,70,20,567,Latin America and the Caribbean,AMR,Latin America and the Caribbean,Latin America and Caribbean
Bolivia (Plurinational State of),BOL,2015,   11 090,68,73,<1,6,20,1.08,98,<1,1,<1,0.19,90,<1,3,7,0.61,-,57,-,-,-,30,43,-,95,81,-,-,88,10,-,83,-,-,-,70,21,568,Latin America and the Caribbean,AMR,Latin America and the Caribbean,Latin America and Caribbean
Bolivia (Plurinational State of),BOL,2016,   11 263,69,75,<1,6,19,1.08,98,<1,1,<1,0.19,91,<1,3,6,0.61,-,58,-,-,-,29,46,-,95,81,-,-,88,11,-,84,-,-,-,69,22,569,Latin America and the Caribbean,AMR,Latin America and the Caribbean,Latin America and Caribbean
Bolivia (Plurinational State of),BOL,2017,   11 436,69,76,<1,6,19,1.08,99,<1,1,<1,0.19,91,<1,2,6,0.61,-,59,-,-,-,28,48,-,95,81,-,-,87,11,-,84,-,-,-,69,23,570,Latin America and the Caribbean,AMR,Latin America and the Caribbean,Latin America and Caribbean
Bolivia (Plurinational State of),BOL,2018,   11 607,69,77,<1,5,18,1.08,99,<1,<1,<1,0.19,92,<1,2,6,0.61,-,60,-,-,-,26,50,-,96,80,-,-,87,12,-,85,-,-,-,68,24,571,Latin America and the Caribbean,AMR,Latin America and the Caribbean,Latin America and Caribbean
Bolivia (Plurinational State of),BOL,2019,   11 777,70,78,<1,5,17,1.08,99,<1,<1,<1,0.19,93,<1,2,5,0.61,-,61,-,-,-,25,53,-,96,80,-,-,87,12,-,85,-,-,-,68,25,572,Latin America and the Caribbean,AMR,Latin America and the Caribbean,Latin America and Caribbean
Bolivia (Plurinational State of),BOL,2020,   11 936,70,79,<1,5,16,1.08,>99,<1,<1,<1,0.19,93,<1,2,5,0.61,-,61,-,-,-,24,55,-,96,80,-,-,86,13,-,86,-,-,-,68,25,573,Latin America and the Caribbean,AMR,Latin America and the Caribbean,Latin America and Caribbean
Bolivia (Plurinational State of),BOL,2021,   12 079,70,80,<1,4,15,1.08,>99,<1,<1,<1,0.19,94,<1,2,5,0.61,-,62,-,-,-,23,58,-,96,80,-,-,86,13,-,86,-,-,-,67,26,574,Latin America and the Caribbean,AMR,Latin America and the Caribbean,Latin America and Caribbean
Bolivia (Plurinational State of),BOL,2022,   12 224,71,81,<1,4,15,1.08,>99,<1,<1,<1,0.19,94,<1,1,4,0.61,-,63,-,-,-,21,60,-,96,80,-,-,86,14,-,87,-,-,-,67,27,575,Latin America and the Caribbean,AMR,Latin America and the Caribbean,Latin America and Caribbean
"Bonaire, Sint Eustatius and Saba",BES,2000,       14,75,-,-,-,-,-,-,-,-,-,-,99,<1,1,<1,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84,84,-,99,0.75,68,30,576,Latin America and the Caribbean,AMR,,
"Bonaire, Sint Eustatius and Saba",BES,2001,       14,75,-,-,-,-,-,-,-,-,-,-,99,<1,1,<1,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84,84,-,99,0.75,70,29,577,Latin America and the Caribbean,AMR,,
"Bonaire, Sint Eustatius and Saba",BES,2002,       15,75,-,-,-,-,-,-,-,-,-,-,99,<1,1,<1,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85,85,-,99,0.75,71,27,578,Latin America and the Caribbean,AMR,,
"Bonaire, Sint Eustatius and Saba",BES,2003,       15,75,-,-,-,-,-,-,-,-,-,-,99,<1,1,<1,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,86,-,99,0.75,73,26,579,Latin America and the Caribbean,AMR,,
"Bonaire, Sint Eustatius and Saba",BES,2004,       16,75,-,-,-,-,-,-,-,-,-,-,99,<1,1,<1,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,87,87,-,99,0.75,74,24,580,Latin America and the Caribbean,AMR,,
"Bonaire, Sint Eustatius and Saba",BES,2005,       17,75,-,-,-,-,-,-,-,-,-,-,99,<1,1,<1,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,87,87,-,99,0.75,76,23,581,Latin America and the Caribbean,AMR,,
"Bonaire, Sint Eustatius and Saba",BES,2006,       17,75,-,-,-,-,-,-,-,-,-,-,>99,<1,<1,<1,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88,88,-,>99,0.75,77,22,582,Latin America and the Caribbean,AMR,,
"Bonaire, Sint Eustatius and Saba",BES,2007,       18,75,-,-,-,-,-,-,-,-,-,-,>99,<1,<1,<1,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89,89,-,>99,0.75,79,20,583,Latin America and the Caribbean,AMR,,
"Bonaire, Sint Eustatius and Saba",BES,2008,       19,75,-,-,-,-,-,-,-,-,-,-,>99,<1,<1,<1,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,90,-,>99,0.75,80,19,584,Latin America and the Caribbean,AMR,,
"Bonaire, Sint Eustatius and Saba",BES,2009,       20,75,-,-,-,-,-,-,-,-,-,-,>99,<1,<1,<1,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91,91,-,>99,0.75,82,17,585,Latin America and the Caribbean,AMR,,
"Bonaire, Sint Eustatius and Saba",BES,2010,       20,75,-,-,-,-,-,-,-,-,-,-,>99,<1,<1,<1,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91,91,-,>99,0.75,83,16,586,Latin America and the Caribbean,AMR,,
"Bonaire, Sint Eustatius and Saba",BES,2011,       21,75,-,-,-,-,-,-,-,-,-,-,>99,<1,<1,<1,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92,92,-,>99,0.75,85,14,587,Latin America and the Caribbean,AMR,,
"Bonaire, Sint Eustatius and Saba",BES,2012,       21,75,-,-,-,-,-,-,-,-,-,-,>99,<1,<1,<1,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93,93,-,>99,0.75,86,13,588,Latin America and the Caribbean,AMR,,
"Bonaire, Sint Eustatius and Saba",BES,2013,       22,75,-,-,-,-,-,-,-,-,-,-,>99,<1,<1,<1,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,94,94,-,>99,0.75,88,11,589,Latin America and the Caribbean,AMR,,
